CMDLINE C:\Users\lenna\PycharmProjects\DD2358-Neurals\.venv\Scripts\python.exe artificialneuralnetwork.py
MEM 1.828125 1739784996.7043
MEM 3.519531 1739784996.8050
MEM 3.519531 1739784996.9054
MEM 3.519531 1739784997.0057
MEM 3.519531 1739784997.1061
MEM 3.519531 1739784997.2064
MEM 3.519531 1739784997.3067
MEM 3.519531 1739784997.4071
MEM 3.519531 1739784997.5074
MEM 3.519531 1739784997.6077
MEM 3.519531 1739784997.7081
MEM 3.519531 1739784997.8084
MEM 3.519531 1739784997.9088
MEM 3.519531 1739784998.0091
MEM 3.519531 1739784998.1095
MEM 3.519531 1739784998.2103
MEM 3.519531 1739784998.3106
MEM 3.519531 1739784998.4109
MEM 3.519531 1739784998.5112
MEM 3.519531 1739784998.6114
MEM 3.519531 1739784998.7118
MEM 3.519531 1739784998.8121
MEM 3.519531 1739784998.9124
MEM 3.519531 1739784999.0127
MEM 3.519531 1739784999.1132
MEM 3.519531 1739784999.2135
MEM 3.519531 1739784999.3138
MEM 3.519531 1739784999.4141
MEM 3.519531 1739784999.5144
MEM 3.519531 1739784999.6147
MEM 3.519531 1739784999.7150
MEM 3.519531 1739784999.8154
MEM 3.519531 1739784999.9159
MEM 3.519531 1739785000.0162
MEM 3.519531 1739785000.1165
MEM 3.519531 1739785000.2167
MEM 3.519531 1739785000.3170
MEM 3.519531 1739785000.4173
MEM 3.519531 1739785000.5176
MEM 3.519531 1739785000.6179
MEM 3.519531 1739785000.7183
MEM 3.519531 1739785000.8186
MEM 3.519531 1739785000.9190
MEM 3.519531 1739785001.0197
MEM 3.519531 1739785001.1201
MEM 3.519531 1739785001.2204
MEM 3.519531 1739785001.3207
MEM 3.519531 1739785001.4210
MEM 3.519531 1739785001.5214
MEM 3.519531 1739785001.6248
MEM 3.519531 1739785001.7252
MEM 3.519531 1739785001.8255
MEM 3.519531 1739785001.9264
MEM 3.519531 1739785002.0268
MEM 3.519531 1739785002.1271
MEM 3.519531 1739785002.2275
MEM 3.519531 1739785002.3277
MEM 3.519531 1739785002.4281
MEM 3.519531 1739785002.5284
MEM 3.519531 1739785002.6289
MEM 3.519531 1739785002.7293
MEM 3.519531 1739785002.8300
MEM 3.519531 1739785002.9304
MEM 3.519531 1739785003.0318
MEM 3.519531 1739785003.1330
MEM 3.519531 1739785003.2339
MEM 3.519531 1739785003.3341
MEM 3.519531 1739785003.4344
MEM 3.519531 1739785003.5348
MEM 3.519531 1739785003.6351
MEM 3.519531 1739785003.7356
MEM 3.519531 1739785003.8359
MEM 3.519531 1739785003.9364
MEM 3.519531 1739785004.0367
MEM 3.519531 1739785004.1373
MEM 3.519531 1739785004.2377
MEM 3.519531 1739785004.3380
MEM 3.519531 1739785004.4384
MEM 3.519531 1739785004.5388
MEM 3.519531 1739785004.6391
MEM 3.519531 1739785004.7394
MEM 3.519531 1739785004.8397
MEM 3.519531 1739785004.9399
MEM 3.519531 1739785005.0402
MEM 3.519531 1739785005.1410
MEM 3.519531 1739785005.2414
MEM 3.519531 1739785005.3417
MEM 3.519531 1739785005.4424
MEM 3.519531 1739785005.5432
MEM 3.519531 1739785005.6435
MEM 3.519531 1739785005.7443
MEM 3.519531 1739785005.8450
MEM 3.519531 1739785005.9458
MEM 3.519531 1739785006.0461
MEM 3.519531 1739785006.1466
MEM 3.519531 1739785006.2472
MEM 3.519531 1739785006.3476
MEM 3.519531 1739785006.4479
MEM 3.519531 1739785006.5488
MEM 3.519531 1739785006.6496
MEM 3.519531 1739785006.7500
MEM 3.519531 1739785006.8504
MEM 3.519531 1739785006.9511
MEM 3.519531 1739785007.0518
MEM 3.519531 1739785007.1523
MEM 3.519531 1739785007.2529
MEM 3.519531 1739785007.3531
MEM 3.519531 1739785007.4535
MEM 3.519531 1739785007.5540
MEM 3.519531 1739785007.6545
MEM 3.519531 1739785007.7548
MEM 3.519531 1739785007.8551
MEM 3.519531 1739785007.9554
MEM 3.519531 1739785008.0561
MEM 3.519531 1739785008.1567
MEM 3.519531 1739785008.2571
MEM 3.519531 1739785008.3574
MEM 3.519531 1739785008.4580
MEM 3.519531 1739785008.5585
MEM 3.519531 1739785008.6587
MEM 3.519531 1739785008.7595
MEM 3.519531 1739785008.8600
MEM 3.519531 1739785008.9605
MEM 3.519531 1739785009.0609
MEM 3.519531 1739785009.1619
MEM 3.519531 1739785009.2623
MEM 3.519531 1739785009.3629
MEM 3.519531 1739785009.4635
MEM 3.519531 1739785009.5639
MEM 3.519531 1739785009.6646
MEM 3.519531 1739785009.7652
MEM 3.519531 1739785009.8656
MEM 3.519531 1739785009.9682
MEM 3.519531 1739785010.0684
MEM 3.519531 1739785010.1691
MEM 3.519531 1739785010.2700
MEM 3.519531 1739785010.3705
MEM 3.519531 1739785010.4713
MEM 3.519531 1739785010.5718
MEM 3.519531 1739785010.6725
MEM 3.519531 1739785010.7730
MEM 3.519531 1739785010.8734
MEM 3.519531 1739785010.9739
MEM 3.519531 1739785011.0746
MEM 3.519531 1739785011.1756
MEM 3.519531 1739785011.2760
MEM 3.519531 1739785011.3788
MEM 3.519531 1739785011.4794
MEM 3.519531 1739785011.5797
MEM 3.519531 1739785011.6801
MEM 3.519531 1739785011.7808
MEM 3.519531 1739785011.8811
MEM 3.519531 1739785011.9820
MEM 3.519531 1739785012.0822
MEM 3.519531 1739785012.1831
MEM 3.519531 1739785012.2840
MEM 3.519531 1739785012.3849
MEM 3.519531 1739785012.4852
MEM 3.519531 1739785012.5859
MEM 3.519531 1739785012.6867
MEM 3.519531 1739785012.7878
MEM 3.519531 1739785012.8886
MEM 3.519531 1739785012.9897
MEM 3.519531 1739785013.0903
MEM 3.519531 1739785013.1911
MEM 3.519531 1739785013.2915
MEM 3.519531 1739785013.3920
MEM 3.519531 1739785013.4926
MEM 3.519531 1739785013.5933
MEM 3.519531 1739785013.6938
MEM 3.519531 1739785013.7943
MEM 3.519531 1739785013.8947
MEM 3.519531 1739785013.9957
MEM 3.519531 1739785014.0961
MEM 3.519531 1739785014.1970
MEM 3.519531 1739785014.2975
MEM 3.519531 1739785014.3981
MEM 3.519531 1739785014.4984
MEM 3.519531 1739785014.5987
MEM 3.519531 1739785014.6993
MEM 3.519531 1739785014.7996
MEM 3.519531 1739785014.9003
MEM 3.519531 1739785015.0010
MEM 3.519531 1739785015.1018
MEM 3.519531 1739785015.2020
MEM 3.519531 1739785015.3028
MEM 3.519531 1739785015.4033
MEM 3.519531 1739785015.5038
MEM 3.519531 1739785015.6040
MEM 3.519531 1739785015.7048
MEM 3.519531 1739785015.8054
MEM 3.519531 1739785015.9057
MEM 3.519531 1739785016.0064
MEM 3.519531 1739785016.1072
MEM 3.519531 1739785016.2075
MEM 3.519531 1739785016.3080
MEM 3.519531 1739785016.4085
MEM 3.519531 1739785016.5090
MEM 3.519531 1739785016.6095
MEM 3.519531 1739785016.7101
MEM 3.519531 1739785016.8107
MEM 3.519531 1739785016.9111
MEM 3.519531 1739785017.0117
MEM 3.519531 1739785017.1124
MEM 3.519531 1739785017.2129
MEM 3.519531 1739785017.3133
MEM 3.519531 1739785017.4141
MEM 3.519531 1739785017.5146
MEM 3.519531 1739785017.6148
MEM 3.519531 1739785017.7152
MEM 3.519531 1739785017.8159
MEM 3.519531 1739785017.9165
MEM 3.519531 1739785018.0172
MEM 3.519531 1739785018.1180
MEM 3.519531 1739785018.2186
MEM 3.519531 1739785018.3191
MEM 3.519531 1739785018.4196
MEM 3.519531 1739785018.5200
MEM 3.519531 1739785018.6206
MEM 3.519531 1739785018.7208
MEM 3.519531 1739785018.8210
MEM 3.519531 1739785018.9217
MEM 3.519531 1739785019.0225
MEM 3.519531 1739785019.1231
MEM 3.519531 1739785019.2240
MEM 3.519531 1739785019.3246
MEM 3.519531 1739785019.4269
MEM 3.519531 1739785019.5275
MEM 3.519531 1739785019.6281
MEM 3.519531 1739785019.7285
MEM 3.519531 1739785019.8290
MEM 3.519531 1739785019.9299
MEM 3.519531 1739785020.0304
MEM 3.519531 1739785020.1308
MEM 3.519531 1739785020.2311
MEM 3.519531 1739785020.3317
MEM 3.519531 1739785020.4325
MEM 3.519531 1739785020.5333
MEM 3.519531 1739785020.6336
MEM 3.519531 1739785020.7342
MEM 3.519531 1739785020.8347
MEM 3.519531 1739785020.9353
MEM 3.519531 1739785021.0359
MEM 3.519531 1739785021.1366
MEM 3.519531 1739785021.2376
MEM 3.519531 1739785021.3380
MEM 3.519531 1739785021.4386
