<CMDLINE C:\Users\lenna\PycharmProjects\DD2358-Neurals\.venv\Scripts\python.exe artificialneuralnetwork.py
MEM 1.843750 1739783581.2345
MEM 3.519531 1739783581.3352
MEM 3.519531 1739783581.4359
MEM 3.519531 1739783581.5365
MEM 3.519531 1739783581.6371
MEM 3.519531 1739783581.7373
MEM 3.519531 1739783581.8377
MEM 3.519531 1739783581.9382
MEM 3.519531 1739783582.0386
MEM 3.519531 1739783582.1390
MEM 3.519531 1739783582.2397
MEM 3.519531 1739783582.3404
MEM 3.519531 1739783582.4406
MEM 3.519531 1739783582.5413
MEM 3.519531 1739783582.6417
MEM 3.519531 1739783582.7422
MEM 3.519531 1739783582.8427
MEM 3.519531 1739783582.9434
MEM 3.519531 1739783583.0439
MEM 3.519531 1739783583.1445
MEM 3.519531 1739783583.2448
MEM 3.519531 1739783583.3457
MEM 3.519531 1739783583.4463
MEM 3.519531 1739783583.5468
MEM 3.519531 1739783583.6476
MEM 3.519531 1739783583.7481
MEM 3.519531 1739783583.8488
MEM 3.519531 1739783583.9496
MEM 3.519531 1739783584.0503
MEM 3.519531 1739783584.1508
MEM 3.519531 1739783584.2513
MEM 3.519531 1739783584.3519
MEM 3.519531 1739783584.4524
MEM 3.519531 1739783584.5529
MEM 3.519531 1739783584.6533
MEM 3.519531 1739783584.7537
MEM 3.519531 1739783584.8542
MEM 3.519531 1739783584.9548
MEM 3.519531 1739783585.0551
MEM 3.519531 1739783585.1555
MEM 3.519531 1739783585.2561
MEM 3.519531 1739783585.3568
MEM 3.519531 1739783585.4572
MEM 3.519531 1739783585.5578
MEM 3.519531 1739783585.6581
MEM 3.519531 1739783585.7587
MEM 3.519531 1739783585.8593
MEM 3.519531 1739783585.9598
MEM 3.519531 1739783586.0603
MEM 3.519531 1739783586.1606
MEM 3.519531 1739783586.2608
MEM 3.519531 1739783586.3611
MEM 3.519531 1739783586.4618
MEM 3.519531 1739783586.5621
MEM 3.519531 1739783586.6624
MEM 3.519531 1739783586.7631
MEM 3.519531 1739783586.8637
MEM 3.519531 1739783586.9644
MEM 3.519531 1739783587.0649
MEM 3.519531 1739783587.1657
MEM 3.519531 1739783587.2662
MEM 3.519531 1739783587.3670
MEM 3.519531 1739783587.4677
MEM 3.519531 1739783587.5680
MEM 3.519531 1739783587.6685
MEM 3.519531 1739783587.7690
MEM 3.519531 1739783587.8697
MEM 3.519531 1739783587.9701
MEM 3.519531 1739783588.0706
MEM 3.519531 1739783588.1713
MEM 3.519531 1739783588.2717
MEM 3.519531 1739783588.3723
MEM 3.519531 1739783588.4726
MEM 3.519531 1739783588.5729
MEM 3.519531 1739783588.6734
MEM 3.519531 1739783588.7741
MEM 3.519531 1739783588.8746
MEM 3.519531 1739783588.9752
MEM 3.519531 1739783589.0759
MEM 3.519531 1739783589.1766
MEM 3.519531 1739783589.2771
MEM 3.519531 1739783589.3786
MEM 3.519531 1739783589.4791
MEM 3.519531 1739783589.5798
